subject_id,story,social_interaction,equal,understood,pass_attention,more,less
f2ef57c3f9c16cb0d0e0d280585a41da,conversation,precedent,3,yes,TRUE,4,2
f2ef57c3f9c16cb0d0e0d280585a41da,groceries,no_interaction,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,restaurant,reciprocity,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,coffee,reciprocity,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,group project,no_interaction,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,meeting location,reciprocity,4,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,feedback,precedent,4,yes,TRUE,4,3
f2ef57c3f9c16cb0d0e0d280585a41da,police,precedent,3,yes,TRUE,2,4
f2ef57c3f9c16cb0d0e0d280585a41da,scheduling,no_interaction,3,yes,TRUE,2,4
f2ef57c3f9c16cb0d0e0d280585a41da,housemates,no_interaction,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,babysitting,precedent,3,yes,TRUE,2,4
f2ef57c3f9c16cb0d0e0d280585a41da,family meals,precedent,2,yes,TRUE,1,4
f2ef57c3f9c16cb0d0e0d280585a41da,gifts,reciprocity,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,architects,precedent,4,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,concerts,no_interaction,5,yes,TRUE,3,3
f2ef57c3f9c16cb0d0e0d280585a41da,meeting prep,reciprocity,4,yes,TRUE,2,2
f2ef57c3f9c16cb0d0e0d280585a41da,weekend,reciprocity,3,yes,TRUE,2,4
f2ef57c3f9c16cb0d0e0d280585a41da,fundraising,no_interaction,5,yes,TRUE,2,2
461e8162cda1b8708f743138818b372a,meeting location,precedent,2,yes,TRUE,0,5
461e8162cda1b8708f743138818b372a,coffee,no_interaction,4,yes,TRUE,3,3
461e8162cda1b8708f743138818b372a,groceries,reciprocity,6,yes,TRUE,2,2
461e8162cda1b8708f743138818b372a,family meals,precedent,2,yes,TRUE,2,5
461e8162cda1b8708f743138818b372a,group project,reciprocity,6,yes,TRUE,1,1
461e8162cda1b8708f743138818b372a,concerts,precedent,2,yes,TRUE,5,1
461e8162cda1b8708f743138818b372a,conversation,no_interaction,5,yes,TRUE,1,1
461e8162cda1b8708f743138818b372a,feedback,precedent,4,yes,TRUE,5,1
461e8162cda1b8708f743138818b372a,police,precedent,1,yes,TRUE,0,6
461e8162cda1b8708f743138818b372a,fundraising,no_interaction,6,yes,TRUE,0,0
