subject_id,story,strategy,generous_status_second,own_benefit,other_benefit,inequity_aversion,communicate_equal,communicate_hierarchy,understood,pass_attention
dafe19470877d506bf0050f04120e8bd,police,repeating,just_met,2,2,2,0,3,yes,TRUE
dafe19470877d506bf0050f04120e8bd,architects,alternating,lower,3,3,3,4,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,group project,alternating,just_met,1,1,3,4,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,groceries,alternating,lower,0,0,5,4,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,babysitting,alternating,equal,2,2,5,4,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,gifts,repeating,lower,1,1,5,5,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,fundraising,repeating,equal,0,3,0,0,5,yes,TRUE
dafe19470877d506bf0050f04120e8bd,housemates,alternating,just_met,3,3,4,5,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,scheduling,alternating,equal,4,4,4,4,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,meeting prep,repeating,higher,0,3,0,0,5,yes,TRUE
dafe19470877d506bf0050f04120e8bd,family meals,repeating,lower,0,5,0,0,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,restaurant,repeating,higher,4,3,4,4,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,feedback,repeating,just_met,2,2,2,2,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,coffee,repeating,equal,0,3,0,0,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,concerts,alternating,higher,0,3,5,5,0,yes,TRUE
dafe19470877d506bf0050f04120e8bd,weekend,alternating,higher,2,2,4,5,0,yes,TRUE
01aea296ec904b25575143430e95360e,babysitting,repeating,lower,0,3,2,4,0,yes,TRUE
01aea296ec904b25575143430e95360e,restaurant,alternating,equal,0,0,5,6,0,yes,TRUE
01aea296ec904b25575143430e95360e,group project,alternating,higher,1,4,5,2,0,yes,TRUE
