beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,0,other,0,0.03916572279676441,0.9608342772032362,0.03916572279676441
2,1,1,0.1,0,other,0.1,0.08317269649392248,0.9168273035060776,0.08317269649392248
2,1,1,0.1,0,other,0.2,0.16798161486607577,0.8320183851339239,0.16798161486607577
2,1,1,0.1,0,other,0.3,0.3100255188723875,0.6899744811276128,0.3100255188723875
2,1,1,0.1,0,other,0.4,0.49999999999999994,0.5000000000000004,0.49999999999999994
2,1,1,0.1,0,other,0.5,0.6899744811276123,0.3100255188723875,0.6899744811276123
2,1,1,0.1,0,other,0.6,0.8320183851339247,0.16798161486607546,0.8320183851339247
2,1,1,0.1,0,other,0.7,0.9168273035060776,0.08317269649392225,0.9168273035060776
2,1,1,0.1,0,other,0.8,0.9608342772032362,0.039165722796764446,0.9608342772032362
2,1,1,0.1,0,other,0.9,0.9820137900379087,0.01798620996209158,0.9820137900379087
2,1,1,0.1,0,other,1,0.9918374288468397,0.008162571153159893,0.9918374288468397
2,1,1,0.1,0,own,0,0.008162571153159893,0.9918374288468397,0.9918374288468397
2,1,1,0.1,0,own,0.1,0.01798620996209158,0.9820137900379087,0.9820137900379087
2,1,1,0.1,0,own,0.2,0.039165722796764446,0.9608342772032362,0.9608342772032362
2,1,1,0.1,0,own,0.3,0.08317269649392225,0.9168273035060776,0.9168273035060776
2,1,1,0.1,0,own,0.4,0.16798161486607546,0.8320183851339247,0.8320183851339247
2,1,1,0.1,0,own,0.5,0.3100255188723875,0.6899744811276123,0.6899744811276123
2,1,1,0.1,0,own,0.6,0.5000000000000004,0.49999999999999994,0.49999999999999994
2,1,1,0.1,0,own,0.7,0.6899744811276128,0.3100255188723875,0.3100255188723875
2,1,1,0.1,0,own,0.8,0.8320183851339239,0.16798161486607577,0.16798161486607577
2,1,1,0.1,0,own,0.9,0.9168273035060776,0.08317269649392248,0.08317269649392248
2,1,1,0.1,0,own,1,0.9608342772032362,0.03916572279676441,0.03916572279676441
2,1,1,0.1,0.2,other,0,0.06108427380089338,0.9389157261991066,0.06108427380089338
2,1,1,0.1,0.2,other,0.1,0.12647729922027703,0.8735227007797233,0.12647729922027703
2,1,1,0.1,0.2,other,0.2,0.2437053236500434,0.7562946763499564,0.2437053236500434
2,1,1,0.1,0.2,other,0.3,0.41763944485939775,0.5823605551406021,0.41763944485939775
2,1,1,0.1,0.2,other,0.4,0.6147986714296129,0.3852013285703868,0.6147986714296129
2,1,1,0.1,0.2,other,0.5,0.7803194123318676,0.2196805876681324,0.7803194123318676
2,1,1,0.1,0.2,other,0.6,0.8877068519601542,0.11229314803984596,0.8877068519601542
2,1,1,0.1,0.2,other,0.7,0.9462177238699008,0.05378227613009891,0.9462177238699008
2,1,1,0.1,0.2,other,0.8,0.9750965154710496,0.024903484528950377,0.9750965154710496
2,1,1,0.1,0.2,other,0.9,0.9886545558980697,0.011345444101929954,0.9886545558980697
2,1,1,0.1,0.2,other,1,0.9948701138392028,0.005129886160797477,0.9948701138392028
2,1,1,0.1,0.2,own,0,0.005129886160797477,0.9948701138392028,0.9948701138392028
2,1,1,0.1,0.2,own,0.1,0.011345444101929954,0.9886545558980697,0.9886545558980697
2,1,1,0.1,0.2,own,0.2,0.024903484528950377,0.9750965154710496,0.9750965154710496
2,1,1,0.1,0.2,own,0.3,0.05378227613009891,0.9462177238699008,0.9462177238699008
2,1,1,0.1,0.2,own,0.4,0.11229314803984596,0.8877068519601542,0.8877068519601542
2,1,1,0.1,0.2,own,0.5,0.2196805876681324,0.7803194123318676,0.7803194123318676
2,1,1,0.1,0.2,own,0.6,0.3852013285703868,0.6147986714296129,0.6147986714296129
2,1,1,0.1,0.2,own,0.7,0.5823605551406021,0.41763944485939775,0.41763944485939775
2,1,1,0.1,0.2,own,0.8,0.7562946763499564,0.2437053236500434,0.2437053236500434
2,1,1,0.1,0.2,own,0.9,0.8735227007797233,0.12647729922027703,0.12647729922027703
2,1,1,0.1,0.2,own,1,0.9389157261991066,0.06108427380089338,0.06108427380089338
2,1,1,0.1,0.4,other,0,0.09406832097793427,0.9059316790220654,0.09406832097793427
2,1,1,0.1,0.4,other,0.1,0.18771253781058542,0.8122874621894147,0.18771253781058542
2,1,1,0.1,0.4,other,0.2,0.3396302103064495,0.6603697896935505,0.3396302103064495
2,1,1,0.1,0.4,other,0.3,0.5337131310336888,0.4662868689663112,0.5337131310336888
2,1,1,0.1,0.4,other,0.4,0.7181002037383208,0.2818997962616793,0.7181002037383208
2,1,1,0.1,0.4,other,0.5,0.8500581801831191,0.14994181981688107,0.8500581801831191
2,1,1,0.1,0.4,other,0.6,0.9265632244086345,0.07343677559136566,0.9265632244086345
2,1,1,0.1,0.4,other,0.7,0.9656121000329021,0.03438789996709819,0.9656121000329021
2,1,1,0.1,0.4,other,0.8,0.98425027715512,0.01574972284488029,0.98425027715512
