beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,1.4,other,0,0.5181672618859144,0.4818327381140858,0.5181672618859144
2,1,1,0.1,1.4,other,0.1,0.7053074197591731,0.29469258024082656,0.7053074197591731
2,1,1,0.1,1.4,other,0.2,0.8419356093461372,0.15806439065386313,0.8419356093461372
2,1,1,0.1,1.4,other,0.3,0.9222057656557152,0.07779423434428448,0.9222057656557152
2,1,1,0.1,1.4,other,0.4,0.9634803299688641,0.03651967003113617,0.9634803299688641
2,1,1,0.1,1.4,other,0.5,0.983253884681398,0.016746115318602456,0.983253884681398
2,1,1,0.1,1.4,other,0.6,0.9924054514569758,0.007594548543024125,0.9924054514569758
2,1,1,0.1,1.4,other,0.7,0.9965732182333495,0.003426781766650447,0.9965732182333495
2,1,1,0.1,1.4,other,0.8,0.9984573366473336,0.0015426633526661737,0.9984573366473336
2,1,1,0.1,1.4,other,0.9,0.9993062473308542,0.0006937526691458695,0.9993062473308542
2,1,1,0.1,1.4,other,1,0.9996881576988604,0.00031184230113955427,0.9996881576988604
2,1,1,0.1,1.4,own,0,0.00031184230113955595,0.9996881576988604,0.9996881576988604
2,1,1,0.1,1.4,own,0.1,0.0006937526691458732,0.9993062473308542,0.9993062473308542
2,1,1,0.1,1.4,own,0.2,0.001542663352666182,0.9984573366473336,0.9984573366473336
2,1,1,0.1,1.4,own,0.3,0.003426781766650465,0.9965732182333495,0.9965732182333495
2,1,1,0.1,1.4,own,0.4,0.007594548543024166,0.9924054514569758,0.9924054514569758
2,1,1,0.1,1.4,own,0.5,0.01674611531860253,0.9832538846813972,0.9832538846813972
2,1,1,0.1,1.4,own,0.6,0.03651967003113633,0.9634803299688632,0.9634803299688632
2,1,1,0.1,1.4,own,0.7,0.0777942343442849,0.9222057656557152,0.9222057656557152
2,1,1,0.1,1.4,own,0.8,0.15806439065386382,0.8419356093461365,0.8419356093461365
2,1,1,0.1,1.4,own,0.9,0.29469258024082784,0.7053074197591725,0.7053074197591725
2,1,1,0.1,1.4,own,1,0.48183273811408706,0.518167261885913,0.518167261885913
